PLZ;PLZ;PLZ (Cleaned);PLZ (Removed Duplicates);1. 05. _Seminargesamtliste_ is copied from Ragbit and treated appropriately for correct data period;;;;;;;
69412;69412;69412;;;;;;;;;
Salzgitter;38226;38226;;;;;;;;;
Frankfurt;Keine Angabe;;;;;;;;;;
38229;38229;38229;;;;;;;;;
64846;64846;64846;;;;;;;;;
1111;1111;1111;;;;;;;;;
69509;69509;69509;;;;;;;;;
64319;64319;64319;;;;;;;;;
78592;78592;78592;;;;;;;;;
Wiesbaden;55246;55246;;;;;;;;;
78048;78048;78048;;;;;;;;;
64546 Mörfelden;Keine Angabe;;;;;;;;;;
Hermsdorf;Keine Angabe;;;;;;;;;;
Osnabrück;49074;49074;;;;;;;;;
63741;63741;63741;;;;;;;;;
41065;41065;41065;;;;;;;;;
85774;85774;85774;;;;;;;;;
64287;64287;64287;;;;;;;;;
64287;64287;64287;;;;;;;;;
64295;64295;64295;;;;;;;;;
64295;64295;64295;;;;;;;;;
64653 Lorsch;Keine Angabe;;;;;;;;;;
Oldenburg;26121;26121;;;;;;;;;
78592;78592;78592;;;;;;;;;
90409;90409;90409;;;;;;;;;
64372,00;64372;64372;;;;;;;;;
34128,00;34128;34128;;;;;;;;;
63263,00;63263;63263;;;;;;;;;
77933,00;77933;77933;;;;;;;;;
64367,00;64367;64367;;;;;;;;;
Wächtersbach;Keine Angabe;;;;;;;;;;
90439 Nürnberg;Keine Angabe;;;;;;;;;;
90427,00;90427;90427;;;;;;;;;
90329,00;90329;90329;;;;;;;;;
90329,00;90329;90329;;;;;;;;;
91541,00;91541;91541;;;;;;;;;
Unterföhring;Keine Angabe;;;;;;;;;;
Albersdorf;Keine Angabe;;;;;;;;;;
01809;Keine Angabe;;;;;;;;;;
90489,00;90489;90489;;;;;;;;;
56068,00;56068;56068;;;;;;;;;
72160,00;72160;72160;;;;;;;;;
60322,00;60322;60322;;;;;;;;;
77933,00;77933;77933;;;;;;;;;
90439 Nürnberg;Keine Angabe;;;;;;;;;;
90427,00;90427;90427;;;;;;;;;
91056,00;91056;91056;;;;;;;;;
St. Wendel;Keine Angabe;;;;;;;;;;
91541,00;91541;91541;;;;;;;;;
90482,00;90482;90482;;;;;;;;;
Unterföhring;Keine Angabe;;;;;;;;;;
Bergkamen-Overbe;Keine Angabe;;;;;;;;;;
Albersdorf;Keine Angabe;;;;;;;;;;
01809;Keine Angabe;;;;;;;;;;
91564,00;91564;91564;;;;;;;;;
50667,00;50667;50667;;;;;;;;;
Wald-Michelbach;Keine Angabe;;;;;;;;;;
Wald-Michelbach;Keine Angabe;;;;;;;;;;
48282,00;48282;48282;;;;;;;;;
50678,00;50678;50678;;;;;;;;;
frankfurt;Keine Angabe;;;;;;;;;;
64625,00;64625;64625;;;;;;;;;
60528,00;60528;60528;;;;;;;;;
Frankfurt;Keine Angabe;;;;;;;;;;
61169,00;61169;61169;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
55756,00;55756;55756;;;;;;;;;
Hamburg;20095;20095;;;;;;;;;
41069,00;41069;41069;;;;;;;;;
64625,00;64625;64625;;;;;;;;;
33106,00;33106;33106;;;;;;;;;
78592,00;78592;78592;;;;;;;;;
63457,00;63457;63457;;;;;;;;;
78048,00;78048;78048;;;;;;;;;
München;80331;80331;;;;;;;;;
01139;Keine Angabe;;;;;;;;;;
64753,00;64753;64753;;;;;;;;;
50226,00;50226;50226;;;;;;;;;
Duisburg;47051;47051;;;;;;;;;
Waldachtal;Keine Angabe;;;;;;;;;;
72178,00;72178;72178;;;;;;;;;
22045,00;22045;22045;;;;;;;;;
65187,00;65187;65187;;;;;;;;;
66121,00;66121;66121;;;;;;;;;
56203,00;56203;56203;;;;;;;;;
91207,00;91207;91207;;;;;;;;;
65197,00;65197;65197;;;;;;;;;
36396,00;36396;36396;;;;;;;;;
64823,00;64823;64823;;;;;;;;;
65185,00;65185;65185;;;;;;;;;
63868,00;63868;63868;;;;;;;;;
Egelsbach;63329;63329;;;;;;;;;
Bad Iburg, Deuts;Keine Angabe;;;;;;;;;;
70174,00;70174;70174;;;;;;;;;
64319,00;64319;64319;;;;;;;;;
63911,00;63911;63911;;;;;;;;;
64283,00;64283;64283;;;;;;;;;
97318,00;97318;97318;;;;;;;;;
63868,00;63868;63868;;;;;;;;;
65527,00;65527;65527;;;;;;;;;
Lübeck;23552;23552;;;;;;;;;
36043,00;36043;36043;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
Erlensee;Keine Angabe;;;;;;;;;;
74613,00;74613;74613;;;;;;;;;
74613,00;74613;74613;;;;;;;;;
64295,00;64295;64295;;;;;;;;;
74613,00;74613;74613;;;;;;;;;
64289,00;64289;64289;;;;;;;;;
60528,00;60528;60528;;;;;;;;;
64287,00;64287;64287;;;;;;;;;
64293,00;64293;64293;;;;;;;;;
60528,00;60528;60528;;;;;;;;;
Wiesbaden;55246;55246;;;;;;;;;
65366,00;65366;65366;;;;;;;;;
